source,target,video_id,channel_id,created_utc,comment_id
3e7f519dc9f09532,99274e3c2da45b56,K9kNiVLrudM,UCK7tptUDHh-RYDsdxO1-5QQ,2026-05-09 10:25:03+00:00,UgwV_1k-bGXDpu664DB4AaABAg.AWZRdqWozGxAW_piXRh0PB
35f5a9ba0635204c,99274e3c2da45b56,K9kNiVLrudM,UCK7tptUDHh-RYDsdxO1-5QQ,2026-05-09 17:59:38+00:00,UgwV_1k-bGXDpu664DB4AaABAg.AWZRdqWozGxAWadjxIKNzh
3aa054f910174ddd,99274e3c2da45b56,K9kNiVLrudM,UCK7tptUDHh-RYDsdxO1-5QQ,2026-05-09 19:16:04+00:00,UgwV_1k-bGXDpu664DB4AaABAg.AWZRdqWozGxAWamUqnXTxt
4ec511518ec57a94,c2f053870747a2eb,RKfryWfGCns,UCrXNkk4IESnqU-8GMad2vyA,2026-04-09 19:22:52+00:00,UgwVj0JqfxGcLlncM4F4AaABAg.AVK8T_dC50tAVOYQFQR0YJ
43f772d2763d064a,c2f053870747a2eb,RKfryWfGCns,UCrXNkk4IESnqU-8GMad2vyA,2026-04-12 21:03:14+00:00,UgwVj0JqfxGcLlncM4F4AaABAg.AVK8T_dC50tAVWSI-p01RT
3e0a4baf0ccf8970,c3f39df1e810a555,E3w9zA8Ih0k,UChLtXXpo4Ge1ReTEboVvTDg,2026-03-06 07:25:14+00:00,UgwVuMFaZrnJ5lJ6olx4AaABAg.AU-UsFnpTemAU-iGZCOdZz
af9dc72fcb93a32d,f516e5cf75a30f9d,7Di5PTCsf5I,UCqqjiYoD0nP1fR6vf5AcSfQ,2026-05-07 22:08:05+00:00,UgwWQk-KD6496FAzTDV4AaABAg.AWQ_5U7Eb6GAWWw_tyHt9g
af0073fc088d63ce,93e80786c0447141,ICBjPCfOTn4,UC-uhvujip5deVcEtLxnW8qg,2026-05-13 17:34:06+00:00,UgwXRvxd2Zke1VZdYuB4AaABAg.AWkIq7rGSUVAWku-Qv6Icf
1cdd716e355500b5,ae601efb356406a5,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-14 13:46:28+00:00,UgwXx9nfmu8QOHeW0ER4AaABAg.AV_nCXwI8fFAV_ots2vXJ9
b81398f38ab6de64,ae601efb356406a5,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-14 13:52:47+00:00,UgwXx9nfmu8QOHeW0ER4AaABAg.AV_nCXwI8fFAV_pc6bUdYp
